Age,Gender,Education Level,Occupation,Political Affiliation,Geographic Location,Social Media Usage Frequency,Preferred Social Media,Political Content Exposure,Types of Political Content,Sources of Political Content,Recency of Exposure,Interactions Frequency,Political Content Topics,Perception of Accuracy,Awareness of Algorithms,Perception of Relevance,Personal Impact,Trust in Social Media,Concerns about Algorithms,Overall Quality of Discourse,Views on Influence,Suggestions for Improvement
36,Male,High School,Employed,Independent,Australia,0-1 hour,Instagram,Few times a week,Memes,Mainstream media,Within the last week,Few times a week,Environment,Not accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Not concerned,High quality,Somewhat influential,Increase transparency
31,Female,PhD,Student,Liberal,USA,1-2 hours,Twitter,Several times a day,Opinion pieces,Independent bloggers,Longer than a week ago,Few times a week,Immigration,Very accurate,No,Not relevant,Strong impact,Trust somewhat,Very concerned,Moderate quality,Not influential,Increase transparency
38,Male,PhD,Employed,Liberal,Australia,0-1 hour,Twitter,Several times a day,News articles,Independent bloggers,Within the last 24 hours,Once a day,Immigration,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Very concerned,High quality,Very influential,Enhance user controls
37,Female,High School,Employed,Independent,Canada,2-4 hours,Instagram,Once a day,News articles,Political parties,Within the last 24 hours,Several times a day,Economy,Somewhat accurate,No,Not relevant,Moderate impact,Trust somewhat,Somewhat concerned,High quality,Not influential,Enhance user controls
67,Female,Master's,Employed,Liberal,UK,1-2 hours,Twitter,Rarely,News articles,Independent bloggers,Within the last hour,Rarely,Healthcare,Not accurate,Yes,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,Moderate quality,Very influential,Provide more diverse sources
64,Male,Bachelor's,Student,Conservative,Australia,4+ hours,Facebook,Several times a day,Memes,Independent bloggers,Within the last 24 hours,Several times a day,Economy,Somewhat accurate,Yes,Very relevant,Strong impact,Trust a lot,Somewhat concerned,Moderate quality,Somewhat influential,Provide more diverse sources
57,Male,Master's,Unemployed,Independent,USA,4+ hours,Instagram,Few times a week,Opinion pieces,Mainstream media,Longer than a week ago,Several times a day,Environment,Somewhat accurate,No,Very relevant,Moderate impact,Trust somewhat,Very concerned,Low quality,Very influential,Improve fact-checking
63,Female,High School,Student,Liberal,Canada,0-1 hour,Twitter,Rarely,News articles,Independent bloggers,Within the last 24 hours,Several times a day,Environment,Not accurate,Yes,Not relevant,Moderate impact,Do not trust,Not concerned,Low quality,Somewhat influential,Increase transparency
54,Male,PhD,Unemployed,Conservative,UK,1-2 hours,Instagram,Rarely,News articles,Political parties,Longer than a week ago,Several times a day,Economy,Not accurate,Yes,Very relevant,Moderate impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Increase transparency
78,Male,Bachelor's,Unemployed,Liberal,Australia,1-2 hours,Facebook,Several times a day,News articles,Mainstream media,Within the last week,Once a day,Healthcare,Not accurate,No,Not relevant,No impact,Trust a lot,Not concerned,Low quality,Not influential,Enhance user controls
41,Female,High School,Unemployed,Conservative,USA,2-4 hours,Twitter,Rarely,News articles,Independent bloggers,Within the last week,Few times a week,Immigration,Not accurate,Yes,Very relevant,Moderate impact,Trust somewhat,Somewhat concerned,High quality,Somewhat influential,Provide more diverse sources
56,Female,Bachelor's,Unemployed,Conservative,Canada,2-4 hours,Twitter,Several times a day,News articles,Mainstream media,Longer than a week ago,Few times a week,Environment,Somewhat accurate,No,Not relevant,Strong impact,Trust a lot,Somewhat concerned,Low quality,Not influential,Improve fact-checking
58,Female,High School,Unemployed,Liberal,Australia,4+ hours,Twitter,Rarely,Opinion pieces,Independent bloggers,Within the last 24 hours,Several times a day,Immigration,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Very concerned,Moderate quality,Somewhat influential,Provide more diverse sources
69,Non-binary,High School,Unemployed,Independent,UK,2-4 hours,Instagram,Several times a day,News articles,Independent bloggers,Within the last hour,Several times a day,Immigration,Very accurate,Yes,Somewhat relevant,No impact,Do not trust,Not concerned,Moderate quality,Somewhat influential,Provide more diverse sources
52,Non-binary,Bachelor's,Student,Independent,Canada,4+ hours,Twitter,Once a day,News articles,Political parties,Within the last hour,Several times a day,Economy,Very accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Very concerned,Moderate quality,Somewhat influential,Enhance user controls
25,Non-binary,Master's,Student,Independent,UK,2-4 hours,Instagram,Rarely,Opinion pieces,Mainstream media,Within the last 24 hours,Several times a day,Environment,Somewhat accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Not concerned,Moderate quality,Somewhat influential,Increase transparency
78,Female,Bachelor's,Employed,Conservative,Australia,2-4 hours,Instagram,Few times a week,Opinion pieces,Independent bloggers,Longer than a week ago,Few times a week,Healthcare,Very accurate,No,Not relevant,Moderate impact,Trust a lot,Very concerned,High quality,Somewhat influential,Provide more diverse sources
25,Non-binary,High School,Student,Liberal,UK,2-4 hours,Instagram,Rarely,Opinion pieces,Political parties,Within the last 24 hours,Once a day,Economy,Very accurate,Yes,Very relevant,No impact,Trust a lot,Somewhat concerned,High quality,Not influential,Enhance user controls
58,Non-binary,Master's,Employed,Conservative,Australia,4+ hours,Facebook,Several times a day,Memes,Independent bloggers,Within the last hour,Several times a day,Healthcare,Not accurate,Yes,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,High quality,Not influential,Provide more diverse sources
56,Female,Bachelor's,Unemployed,Liberal,USA,2-4 hours,Facebook,Rarely,Opinion pieces,Mainstream media,Longer than a week ago,Once a day,Healthcare,Not accurate,No,Very relevant,Strong impact,Trust a lot,Somewhat concerned,Moderate quality,Not influential,Improve fact-checking
56,Male,PhD,Student,Liberal,USA,1-2 hours,Facebook,Once a day,News articles,Independent bloggers,Within the last hour,Once a day,Immigration,Somewhat accurate,No,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Low quality,Very influential,Improve fact-checking
43,Non-binary,Master's,Employed,Conservative,Australia,1-2 hours,Twitter,Several times a day,Opinion pieces,Political parties,Within the last 24 hours,Few times a week,Immigration,Not accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Somewhat concerned,Low quality,Very influential,Improve fact-checking
49,Non-binary,High School,Unemployed,Liberal,USA,4+ hours,Twitter,Few times a week,News articles,Political parties,Longer than a week ago,Several times a day,Immigration,Somewhat accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Somewhat concerned,Moderate quality,Very influential,Increase transparency
25,Non-binary,Master's,Unemployed,Conservative,Australia,2-4 hours,Twitter,Rarely,News articles,Independent bloggers,Longer than a week ago,Once a day,Immigration,Somewhat accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Somewhat concerned,Low quality,Not influential,Improve fact-checking
67,Non-binary,Master's,Employed,Liberal,Canada,0-1 hour,Facebook,Few times a week,News articles,Independent bloggers,Within the last 24 hours,Few times a week,Environment,Not accurate,Yes,Very relevant,No impact,Trust somewhat,Somewhat concerned,High quality,Somewhat influential,Improve fact-checking
34,Non-binary,Master's,Student,Independent,UK,0-1 hour,Facebook,Several times a day,Opinion pieces,Mainstream media,Within the last 24 hours,Several times a day,Environment,Very accurate,No,Very relevant,Moderate impact,Do not trust,Not concerned,Moderate quality,Very influential,Provide more diverse sources
77,Male,Bachelor's,Student,Independent,USA,4+ hours,Facebook,Few times a week,News articles,Political parties,Within the last 24 hours,Rarely,Economy,Somewhat accurate,Yes,Somewhat relevant,Strong impact,Trust a lot,Very concerned,Low quality,Very influential,Improve fact-checking
58,Non-binary,Master's,Unemployed,Independent,USA,2-4 hours,Twitter,Once a day,News articles,Independent bloggers,Within the last hour,Once a day,Healthcare,Somewhat accurate,No,Not relevant,No impact,Trust somewhat,Somewhat concerned,High quality,Not influential,Increase transparency
75,Female,Master's,Unemployed,Conservative,Australia,0-1 hour,Instagram,Once a day,Opinion pieces,Mainstream media,Within the last 24 hours,Once a day,Immigration,Not accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Very concerned,High quality,Very influential,Enhance user controls
46,Female,PhD,Unemployed,Liberal,USA,1-2 hours,Facebook,Once a day,Opinion pieces,Political parties,Within the last week,Rarely,Healthcare,Very accurate,No,Not relevant,Moderate impact,Trust somewhat,Very concerned,Moderate quality,Somewhat influential,Enhance user controls
77,Male,Master's,Unemployed,Independent,UK,2-4 hours,Facebook,Rarely,News articles,Political parties,Within the last 24 hours,Few times a week,Healthcare,Somewhat accurate,No,Not relevant,Moderate impact,Trust a lot,Not concerned,Low quality,Very influential,Provide more diverse sources
25,Non-binary,Bachelor's,Employed,Liberal,UK,1-2 hours,Twitter,Few times a week,Memes,Independent bloggers,Within the last 24 hours,Once a day,Environment,Very accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Very concerned,Low quality,Very influential,Increase transparency
32,Non-binary,High School,Employed,Conservative,UK,2-4 hours,Twitter,Few times a week,Memes,Political parties,Within the last 24 hours,Once a day,Healthcare,Not accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Very concerned,Moderate quality,Very influential,Enhance user controls
52,Male,PhD,Employed,Liberal,Canada,2-4 hours,Twitter,Several times a day,Opinion pieces,Political parties,Within the last week,Few times a week,Environment,Not accurate,No,Not relevant,Moderate impact,Do not trust,Very concerned,High quality,Somewhat influential,Enhance user controls
24,Female,Master's,Unemployed,Liberal,USA,0-1 hour,Facebook,Few times a week,Memes,Mainstream media,Within the last hour,Few times a week,Environment,Somewhat accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Somewhat concerned,Moderate quality,Somewhat influential,Improve fact-checking
53,Female,Bachelor's,Unemployed,Independent,Australia,4+ hours,Instagram,Once a day,Opinion pieces,Political parties,Within the last 24 hours,Several times a day,Healthcare,Not accurate,Yes,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,Moderate quality,Somewhat influential,Enhance user controls
62,Female,Bachelor's,Unemployed,Liberal,Canada,2-4 hours,Twitter,Several times a day,Opinion pieces,Mainstream media,Within the last hour,Few times a week,Economy,Somewhat accurate,No,Not relevant,No impact,Do not trust,Very concerned,Low quality,Not influential,Increase transparency
69,Female,Bachelor's,Unemployed,Liberal,Australia,1-2 hours,Twitter,Several times a day,Memes,Mainstream media,Within the last 24 hours,Several times a day,Environment,Very accurate,No,Very relevant,Strong impact,Trust somewhat,Not concerned,Low quality,Very influential,Provide more diverse sources
19,Female,Master's,Student,Independent,Australia,4+ hours,Facebook,Once a day,Memes,Independent bloggers,Within the last week,Once a day,Economy,Somewhat accurate,Yes,Very relevant,Moderate impact,Trust somewhat,Not concerned,Moderate quality,Somewhat influential,Provide more diverse sources
23,Non-binary,High School,Student,Independent,USA,2-4 hours,Instagram,Few times a week,Memes,Political parties,Within the last 24 hours,Once a day,Environment,Somewhat accurate,No,Not relevant,Strong impact,Trust a lot,Somewhat concerned,Moderate quality,Somewhat influential,Enhance user controls
65,Non-binary,Bachelor's,Unemployed,Independent,UK,4+ hours,Facebook,Rarely,News articles,Independent bloggers,Longer than a week ago,Few times a week,Economy,Somewhat accurate,No,Somewhat relevant,Strong impact,Trust a lot,Somewhat concerned,High quality,Somewhat influential,Enhance user controls
26,Non-binary,PhD,Student,Liberal,UK,1-2 hours,Facebook,Rarely,Opinion pieces,Mainstream media,Longer than a week ago,Once a day,Immigration,Not accurate,Yes,Not relevant,Moderate impact,Trust a lot,Not concerned,Moderate quality,Very influential,Enhance user controls
55,Non-binary,High School,Employed,Independent,Canada,0-1 hour,Instagram,Several times a day,Opinion pieces,Political parties,Longer than a week ago,Few times a week,Environment,Somewhat accurate,Yes,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,High quality,Very influential,Enhance user controls
69,Non-binary,Master's,Student,Liberal,UK,2-4 hours,Twitter,Few times a week,Memes,Political parties,Within the last hour,Few times a week,Economy,Very accurate,No,Somewhat relevant,No impact,Trust a lot,Somewhat concerned,Moderate quality,Somewhat influential,Provide more diverse sources
27,Non-binary,PhD,Unemployed,Liberal,Canada,1-2 hours,Twitter,Once a day,Memes,Mainstream media,Longer than a week ago,Few times a week,Healthcare,Not accurate,Yes,Not relevant,Moderate impact,Do not trust,Not concerned,High quality,Very influential,Enhance user controls
27,Male,Master's,Unemployed,Liberal,USA,1-2 hours,Facebook,Rarely,Memes,Political parties,Within the last week,Few times a week,Environment,Very accurate,Yes,Not relevant,No impact,Trust somewhat,Somewhat concerned,Low quality,Somewhat influential,Improve fact-checking
33,Non-binary,High School,Unemployed,Liberal,UK,1-2 hours,Twitter,Few times a week,Opinion pieces,Mainstream media,Within the last 24 hours,Few times a week,Economy,Very accurate,Yes,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,High quality,Somewhat influential,Provide more diverse sources
46,Female,Bachelor's,Unemployed,Independent,Canada,2-4 hours,Instagram,Several times a day,News articles,Independent bloggers,Within the last week,Rarely,Immigration,Somewhat accurate,No,Somewhat relevant,Moderate impact,Do not trust,Not concerned,Moderate quality,Not influential,Improve fact-checking
37,Male,High School,Unemployed,Conservative,UK,1-2 hours,Instagram,Rarely,News articles,Political parties,Within the last 24 hours,Several times a day,Environment,Very accurate,No,Very relevant,Strong impact,Do not trust,Somewhat concerned,Moderate quality,Somewhat influential,Enhance user controls
53,Male,High School,Unemployed,Independent,UK,0-1 hour,Facebook,Several times a day,News articles,Mainstream media,Within the last 24 hours,Few times a week,Healthcare,Somewhat accurate,No,Not relevant,No impact,Trust a lot,Somewhat concerned,Moderate quality,Somewhat influential,Increase transparency
63,Female,Bachelor's,Employed,Conservative,Australia,1-2 hours,Twitter,Several times a day,News articles,Mainstream media,Longer than a week ago,Several times a day,Economy,Not accurate,No,Very relevant,Strong impact,Trust a lot,Not concerned,Low quality,Very influential,Enhance user controls
59,Female,PhD,Unemployed,Liberal,Canada,4+ hours,Facebook,Few times a week,Opinion pieces,Mainstream media,Within the last hour,Several times a day,Economy,Very accurate,Yes,Somewhat relevant,Strong impact,Trust somewhat,Somewhat concerned,High quality,Somewhat influential,Enhance user controls
74,Non-binary,High School,Employed,Independent,Australia,1-2 hours,Instagram,Few times a week,News articles,Mainstream media,Within the last hour,Rarely,Environment,Not accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Somewhat concerned,Low quality,Not influential,Increase transparency
23,Male,High School,Unemployed,Independent,Canada,4+ hours,Instagram,Several times a day,News articles,Mainstream media,Within the last week,Few times a week,Environment,Very accurate,No,Somewhat relevant,No impact,Trust somewhat,Not concerned,Moderate quality,Somewhat influential,Provide more diverse sources
66,Male,PhD,Employed,Independent,USA,4+ hours,Facebook,Several times a day,Memes,Mainstream media,Within the last week,Once a day,Environment,Very accurate,Yes,Somewhat relevant,No impact,Do not trust,Somewhat concerned,Low quality,Not influential,Provide more diverse sources
70,Male,Bachelor's,Employed,Liberal,UK,1-2 hours,Facebook,Once a day,Memes,Mainstream media,Longer than a week ago,Several times a day,Environment,Not accurate,Yes,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,Low quality,Very influential,Provide more diverse sources
44,Non-binary,Master's,Student,Independent,UK,1-2 hours,Twitter,Once a day,News articles,Independent bloggers,Within the last 24 hours,Rarely,Healthcare,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Somewhat concerned,Low quality,Very influential,Provide more diverse sources
37,Male,High School,Student,Conservative,Australia,2-4 hours,Twitter,Once a day,News articles,Political parties,Within the last 24 hours,Several times a day,Healthcare,Somewhat accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Improve fact-checking
56,Female,Master's,Unemployed,Independent,Canada,1-2 hours,Twitter,Several times a day,Memes,Independent bloggers,Longer than a week ago,Rarely,Economy,Not accurate,Yes,Not relevant,Moderate impact,Do not trust,Very concerned,High quality,Somewhat influential,Enhance user controls
28,Non-binary,High School,Unemployed,Liberal,Australia,2-4 hours,Facebook,Once a day,Memes,Political parties,Longer than a week ago,Few times a week,Healthcare,Somewhat accurate,Yes,Not relevant,Moderate impact,Do not trust,Very concerned,High quality,Somewhat influential,Provide more diverse sources
60,Female,PhD,Student,Liberal,USA,1-2 hours,Facebook,Rarely,Memes,Political parties,Within the last 24 hours,Few times a week,Healthcare,Not accurate,Yes,Very relevant,Moderate impact,Trust somewhat,Very concerned,Low quality,Very influential,Increase transparency
51,Female,Bachelor's,Employed,Liberal,USA,0-1 hour,Facebook,Rarely,Memes,Political parties,Within the last hour,Once a day,Healthcare,Not accurate,No,Very relevant,Strong impact,Do not trust,Very concerned,High quality,Very influential,Increase transparency
46,Male,Master's,Unemployed,Independent,UK,0-1 hour,Facebook,Once a day,News articles,Independent bloggers,Within the last 24 hours,Rarely,Environment,Somewhat accurate,Yes,Not relevant,No impact,Do not trust,Very concerned,Low quality,Very influential,Provide more diverse sources
45,Non-binary,Master's,Student,Independent,Australia,2-4 hours,Instagram,Few times a week,News articles,Mainstream media,Within the last 24 hours,Several times a day,Economy,Very accurate,No,Very relevant,Strong impact,Trust somewhat,Somewhat concerned,Moderate quality,Somewhat influential,Increase transparency
59,Non-binary,High School,Employed,Independent,UK,1-2 hours,Twitter,Once a day,Opinion pieces,Political parties,Within the last week,Few times a week,Environment,Very accurate,No,Very relevant,No impact,Do not trust,Very concerned,High quality,Somewhat influential,Provide more diverse sources
25,Male,PhD,Unemployed,Liberal,UK,4+ hours,Twitter,Rarely,Memes,Mainstream media,Within the last week,Few times a week,Economy,Not accurate,Yes,Very relevant,Strong impact,Do not trust,Very concerned,High quality,Somewhat influential,Provide more diverse sources
76,Male,PhD,Student,Conservative,Canada,2-4 hours,Instagram,Rarely,News articles,Political parties,Within the last hour,Once a day,Environment,Somewhat accurate,No,Somewhat relevant,No impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Enhance user controls
28,Non-binary,PhD,Unemployed,Independent,USA,2-4 hours,Instagram,Several times a day,Memes,Independent bloggers,Within the last 24 hours,Few times a week,Healthcare,Very accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Not concerned,Moderate quality,Not influential,Improve fact-checking
41,Male,High School,Student,Liberal,Australia,0-1 hour,Facebook,Rarely,Memes,Political parties,Longer than a week ago,Rarely,Healthcare,Not accurate,No,Not relevant,No impact,Do not trust,Somewhat concerned,High quality,Not influential,Increase transparency
35,Male,Bachelor's,Student,Independent,Australia,2-4 hours,Instagram,Several times a day,News articles,Independent bloggers,Within the last 24 hours,Once a day,Economy,Not accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Somewhat concerned,High quality,Somewhat influential,Provide more diverse sources
73,Female,Master's,Student,Independent,Australia,0-1 hour,Facebook,Several times a day,Memes,Mainstream media,Within the last week,Few times a week,Immigration,Not accurate,No,Not relevant,Moderate impact,Do not trust,Somewhat concerned,Moderate quality,Somewhat influential,Improve fact-checking
70,Non-binary,High School,Student,Conservative,Canada,1-2 hours,Instagram,Once a day,News articles,Independent bloggers,Within the last 24 hours,Rarely,Immigration,Not accurate,No,Not relevant,Strong impact,Do not trust,Not concerned,Low quality,Somewhat influential,Enhance user controls
69,Female,Bachelor's,Employed,Liberal,Australia,1-2 hours,Instagram,Rarely,Memes,Mainstream media,Within the last week,Several times a day,Immigration,Very accurate,No,Very relevant,Strong impact,Do not trust,Very concerned,High quality,Very influential,Provide more diverse sources
18,Non-binary,PhD,Unemployed,Conservative,Canada,2-4 hours,Instagram,Several times a day,News articles,Independent bloggers,Longer than a week ago,Rarely,Environment,Somewhat accurate,No,Somewhat relevant,Moderate impact,Trust somewhat,Somewhat concerned,Moderate quality,Not influential,Provide more diverse sources
39,Non-binary,Master's,Student,Liberal,UK,2-4 hours,Facebook,Rarely,Opinion pieces,Political parties,Within the last 24 hours,Rarely,Economy,Very accurate,No,Very relevant,No impact,Trust somewhat,Not concerned,Moderate quality,Somewhat influential,Improve fact-checking
71,Female,Master's,Student,Independent,USA,1-2 hours,Instagram,Rarely,Memes,Mainstream media,Longer than a week ago,Rarely,Immigration,Not accurate,Yes,Very relevant,Moderate impact,Trust a lot,Very concerned,High quality,Not influential,Enhance user controls
73,Female,High School,Unemployed,Conservative,Australia,2-4 hours,Instagram,Rarely,Opinion pieces,Mainstream media,Within the last 24 hours,Rarely,Immigration,Very accurate,No,Very relevant,No impact,Trust a lot,Not concerned,Low quality,Very influential,Improve fact-checking
44,Non-binary,Master's,Employed,Conservative,USA,1-2 hours,Facebook,Rarely,News articles,Mainstream media,Within the last hour,Once a day,Economy,Not accurate,No,Somewhat relevant,No impact,Do not trust,Somewhat concerned,Low quality,Not influential,Enhance user controls
66,Male,High School,Unemployed,Independent,Australia,0-1 hour,Instagram,Few times a week,Opinion pieces,Mainstream media,Within the last hour,Few times a week,Economy,Not accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Somewhat concerned,Moderate quality,Not influential,Improve fact-checking
67,Non-binary,PhD,Employed,Independent,USA,1-2 hours,Facebook,Several times a day,Opinion pieces,Independent bloggers,Within the last 24 hours,Rarely,Environment,Somewhat accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Increase transparency
33,Female,High School,Employed,Liberal,Australia,1-2 hours,Facebook,Once a day,Memes,Political parties,Longer than a week ago,Few times a week,Environment,Somewhat accurate,No,Not relevant,Moderate impact,Trust a lot,Very concerned,Low quality,Somewhat influential,Provide more diverse sources
23,Female,Master's,Student,Liberal,Australia,1-2 hours,Facebook,Rarely,Opinion pieces,Political parties,Within the last hour,Few times a week,Economy,Very accurate,Yes,Not relevant,Strong impact,Trust somewhat,Not concerned,High quality,Somewhat influential,Improve fact-checking
39,Non-binary,Master's,Unemployed,Independent,Canada,1-2 hours,Twitter,Rarely,News articles,Political parties,Within the last week,Several times a day,Environment,Not accurate,No,Very relevant,No impact,Trust a lot,Very concerned,Low quality,Somewhat influential,Enhance user controls
50,Male,Bachelor's,Employed,Conservative,UK,0-1 hour,Twitter,Several times a day,Memes,Political parties,Within the last 24 hours,Once a day,Immigration,Very accurate,No,Very relevant,Moderate impact,Trust somewhat,Very concerned,Low quality,Very influential,Enhance user controls
72,Non-binary,PhD,Unemployed,Liberal,USA,1-2 hours,Twitter,Few times a week,Memes,Political parties,Within the last hour,Once a day,Healthcare,Not accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Not concerned,High quality,Very influential,Provide more diverse sources
73,Non-binary,Bachelor's,Employed,Conservative,Australia,2-4 hours,Facebook,Several times a day,Opinion pieces,Political parties,Longer than a week ago,Rarely,Immigration,Very accurate,Yes,Very relevant,Strong impact,Do not trust,Somewhat concerned,Moderate quality,Not influential,Increase transparency
71,Non-binary,High School,Student,Liberal,USA,1-2 hours,Twitter,Rarely,News articles,Independent bloggers,Within the last 24 hours,Rarely,Immigration,Very accurate,No,Somewhat relevant,Moderate impact,Do not trust,Somewhat concerned,Low quality,Somewhat influential,Increase transparency
37,Male,Master's,Employed,Conservative,Australia,2-4 hours,Instagram,Few times a week,News articles,Political parties,Within the last hour,Once a day,Healthcare,Somewhat accurate,No,Very relevant,Moderate impact,Trust a lot,Not concerned,Low quality,Very influential,Enhance user controls
67,Female,High School,Student,Liberal,Canada,0-1 hour,Twitter,Several times a day,Opinion pieces,Mainstream media,Within the last hour,Rarely,Economy,Somewhat accurate,Yes,Very relevant,Moderate impact,Trust somewhat,Somewhat concerned,Moderate quality,Very influential,Provide more diverse sources
35,Female,Bachelor's,Unemployed,Conservative,Australia,2-4 hours,Instagram,Rarely,Memes,Political parties,Within the last hour,Few times a week,Economy,Not accurate,No,Not relevant,Strong impact,Trust somewhat,Very concerned,Low quality,Not influential,Enhance user controls
79,Female,High School,Unemployed,Liberal,Australia,4+ hours,Facebook,Rarely,Opinion pieces,Independent bloggers,Within the last 24 hours,Rarely,Immigration,Somewhat accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Not concerned,Low quality,Not influential,Improve fact-checking
